stat_no	year	month	day	hour	precip	periode
34320	2010	10	15	12	0	24
34320	2010	10	16	12	0	24
34320	2010	10	17	12	0	24
34320	2010	10	18	12	0	24
34320	2010	10	19	12	0	24
34320	2010	10	20	12	0	24
34320	2010	10	21	12	10	24
34320	2010	10	22	12	0	24
34320	2010	10	23	12	14	24
34320	2010	10	24	12	-1	24
34320	2010	10	25	12	0	24
34320	2010	10	26	12	3	24
34320	2010	10	27	12	12	24
34320	2010	10	28	12	0	24
34320	2010	10	29	12	30	24
34320	2010	10	30	12	61	24
34320	2010	10	31	12	-1	24
34320	2010	11	1	12	0	24
34320	2010	11	2	12	0	24
34320	2010	11	3	12	0	24
34320	2010	11	4	12	0	24
34320	2010	11	5	12	0	24
34320	2010	11	6	12	0	24
34320	2010	11	7	12	0	24
34320	2010	11	8	12	0	24
34320	2010	11	9	12	0	24
34320	2010	11	10	12	0	24
34320	2010	11	11	12	0	24
34320	2010	11	12	12	0	24
34320	2010	11	13	12	0	24
34320	2010	11	14	12	0	24
34320	2010	11	15	12	0	24
34320	2010	11	16	12	0	24
34320	2010	11	17	12	0	24
34320	2010	11	18	12	0	24
34320	2010	11	19	12	0	24
34320	2010	11	20	12	0	24
34320	2010	11	21	12	0	24
34320	2010	11	22	12	-1	24
34320	2010	11	23	12	0	24
34320	2010	11	24	12	-1	24
34320	2010	11	25	12	0	24
34320	2010	11	26	12	0	24
34320	2010	11	27	12	0	24
34320	2010	11	28	12	0	24
34320	2010	11	29	12	0	24
34320	2010	12	1	12	3	48
34320	2010	12	2	12	0	24
34320	2010	12	3	12	0	24
34320	2010	12	4	12	0	24
34320	2010	12	5	12	0	24
34320	2010	12	6	12	0	24
34320	2010	12	7	12	0	24
34320	2010	12	8	12	0	24
34320	2010	12	9	12	0	24
34320	2010	12	10	12	0	24
34320	2010	12	11	12	0	24
34320	2010	12	12	12	0	24
34320	2010	12	13	12	0	24
34320	2010	12	14	12	0	24
34320	2010	12	15	12	0	24
34320	2010	12	16	12	41	24
34320	2010	12	17	12	0	24
34320	2010	12	18	12	1	24
34320	2010	12	19	12	0	24
34320	2010	12	20	12	0	24
34320	2010	12	21	12	0	24
34320	2010	12	22	12	0	24
34320	2010	12	23	12	0	24
34320	2010	12	24	12	0	24
34320	2010	12	25	12	0	24
34320	2010	12	26	12	0	24
34320	2010	12	27	12	0	24
34320	2010	12	28	12	30	24
34320	2010	12	29	12	0	24
34320	2010	12	30	12	3	24
34320	2010	12	31	12	0	24
34320	2011	1	1	12	0	24
34320	2011	1	2	12	0	24
34320	2011	1	3	12	0	24
34320	2011	1	4	12	0	24
34320	2011	1	5	12	0	24
34320	2011	1	6	12	0	24
34320	2011	1	7	12	0	24
34320	2011	1	8	12	0	24
34320	2011	1	9	12	46	24
34320	2011	1	10	12	22	24
34320	2011	1	11	12	1	24
34320	2011	1	12	12	-1	24
34320	2011	1	13	12	0	24
34320	2011	1	14	12	0	24
34320	2011	1	15	12	0	24
34320	2011	1	16	12	0	24
34320	2011	1	17	12	0	24
34320	2011	1	18	12	0	24
34320	2011	1	19	12	0	24
34320	2011	1	20	12	10	24
34320	2011	1	21	12	0	24
34320	2011	1	22	12	0	24
34320	2011	1	23	12	0	24
34320	2011	1	24	12	0	24
34320	2011	1	25	12	0	24
34320	2011	1	26	12	0	24
34320	2011	1	27	12	0	24
34320	2011	1	28	12	-1	24
34320	2011	1	29	12	0	24
34320	2011	1	30	12	1	24
34320	2011	1	31	12	64	24
34320	2011	2	1	12	53	24
34320	2011	2	2	12	22	24
34320	2011	2	3	12	10	24
34320	2011	2	4	12	7	24
34320	2011	2	5	12	33	24
34320	2011	2	6	12	45	24
34320	2011	2	7	12	5	24
34320	2011	2	8	12	9	24
34320	2011	2	9	12	0	24
34320	2011	2	10	12	0	24
34320	2011	2	11	12	0	24
34320	2011	2	12	12	0	24
34320	2011	2	13	12	0	24
34320	2011	2	14	12	14	24
34320	2011	2	15	12	0	24
34320	2011	2	16	12	5	24
34320	2011	2	17	12	0	24
34320	2011	2	18	12	0	24
34320	2011	2	19	12	0	24
34320	2011	2	20	12	0	24
34320	2011	2	21	12	0	24
34320	2011	2	22	12	0	24
34320	2011	2	23	12	0	24
34320	2011	2	24	12	22	24
34320	2011	2	25	12	0	24
34320	2011	2	26	12	15	24
34320	2011	2	27	12	1	24
34320	2011	2	28	12	0	24
34320	2011	3	1	12	60	24
34320	2011	3	2	12	17	24
34320	2011	3	3	12	0	24
34320	2011	3	4	12	0	24
34320	2011	3	5	12	0	24
34320	2011	3	6	12	22	24
34320	2011	3	7	12	0	24
34320	2011	3	8	12	19	24
34320	2011	3	9	12	154	24
34320	2011	3	10	12	2	24
34320	2011	3	11	12	140	24
34320	2011	3	12	12	0	24
34320	2011	3	13	12	0	24
34320	2011	3	14	12	0	24
34320	2011	3	15	12	0	24
34320	2011	3	16	12	0	24
34320	2011	3	17	12	20	24
34320	2011	3	18	12	0	24
34320	2011	3	19	12	26	24
34320	2011	3	20	12	0	24
34320	2011	3	21	12	0	24
34320	2011	3	22	12	0	24
34320	2011	3	23	12	0	24
34320	2011	3	24	12	0	24
34320	2011	3	25	12	0	24
34320	2011	3	26	12	0	24
34320	2011	3	27	12	0	24
34320	2011	3	28	12	0	24
34320	2011	3	29	12	0	24
34320	2011	3	30	12	0	24
34320	2011	3	31	12	22	24
34320	2011	4	1	12	7	24
34320	2011	4	2	12	68	24
34320	2011	4	3	12	42	24
34320	2011	4	4	12	7	24
34320	2011	4	5	12	0	24
34320	2011	4	6	12	15	24
34320	2011	4	7	12	0	24
34320	2011	4	8	12	25	24
34320	2011	4	9	12	0	24
34320	2011	4	10	12	14	24
34320	2011	4	11	12	0	24
34320	2011	4	12	12	0	24
34320	2011	4	13	12	0	24
34320	2011	4	14	12	38	24
34320	2011	4	15	12	0	24
34320	2011	4	16	12	0	24
34320	2011	4	17	12	0	24
34320	2011	4	18	12	0	24
34320	2011	4	19	12	0	24
34320	2011	4	20	12	0	24
34320	2011	4	21	12	24	24
34320	2011	4	22	12	4	24
34320	2011	4	23	12	40	24
34320	2011	4	24	12	9	24
34320	2011	4	25	12	19	24
34320	2011	4	26	12	0	24
34320	2011	4	27	12	0	24
34320	2011	4	28	12	0	24
34320	2011	4	29	12	0	24
34320	2011	4	30	12	9	24
34320	2011	5	1	12	0	24
34320	2011	5	2	12	0	24
34320	2011	5	3	12	0	24
34320	2011	5	4	12	0	24
34320	2011	5	5	12	0	24
34320	2011	5	6	12	0	24
34320	2011	5	7	12	0	24
34320	2011	5	8	12	0	24
34320	2011	5	9	12	0	24
34320	2011	5	10	12	0	24
34320	2011	5	11	12	6	24
34320	2011	5	12	12	75	24
34320	2011	5	13	12	24	24
34320	2011	5	14	12	0	24
34320	2011	5	15	12	-1	24
34320	2011	5	16	12	-1	24
34320	2011	5	17	12	-1	24
34320	2011	5	18	12	0	24
34320	2011	5	19	12	0	24
34320	2011	5	20	12	2	24
34320	2011	5	21	12	-1	24
34320	2011	5	22	12	-1	24
34320	2011	5	23	12	1	24
34320	2011	5	24	12	-1	24
34320	2011	5	25	12	-1	24
34320	2011	5	26	12	-1	24
34320	2011	5	27	12	0	24
34320	2011	5	28	12	0	24
34320	2011	5	29	12	0	24
