Station;year;month;day;601;pc
3427050;2015;6;24;0;24
3427050;2015;6;25;0;24
3427050;2015;6;26;0;24
3427050;2015;6;27;0;24
3427050;2015;6;28;0;24
3427050;2015;6;29;0;24
3427050;2015;6;30;0;24
3427050;2015;7;1;0;24
3427050;2015;7;2;0;24
3427050;2015;7;3;0;24
3427050;2015;7;4;0;24
3427050;2015;7;5;0;24
3427050;2015;7;6;0;24
3427050;2015;7;7;0;24
3427050;2015;7;8;0;24
3427050;2015;7;9;0;24
3427050;2015;7;10;0;24
3427050;2015;7;11;0;24
3427050;2015;7;12;0;24
3427050;2015;7;13;0;24
3427050;2015;7;14;0;24
3427050;2015;7;15;0;24
3427050;2015;7;16;0;24
3427050;2015;7;17;0;24
3427050;2015;7;18;0;24
3427050;2015;7;19;0;24
3427050;2015;7;20;0;24
3427050;2015;7;21;0;24
3427050;2015;7;22;0;24
3427050;2015;7;23;0;24
3427050;2015;7;24;1,4;24
3427050;2015;7;25;0;24
3427050;2015;7;26;0;24
3427050;2015;7;27;0;24
3427050;2015;7;28;0;24
3427050;2015;7;29;0;24
3427050;2015;7;30;0;24
3427050;2015;7;31;0;24
3427050;2015;8;1;0;24
3427050;2015;8;2;0;24
3427050;2015;8;3;0;24
3427050;2015;8;4;0;24
3427050;2015;8;5;0;24
3427050;2015;8;6;0;24
3427050;2015;8;7;0;24
3427050;2015;8;8;0;24
3427050;2015;8;9;0;24
3427050;2015;8;10;0;24
3427050;2015;8;11;6,4;24
3427050;2015;8;12;0;24
3427050;2015;8;13;0;24
3427050;2015;8;14;0;24
3427050;2015;8;15;0;24
3427050;2015;8;16;0;24
3427050;2015;8;17;0;24
3427050;2015;8;18;0;24
3427050;2015;8;19;0;24
3427050;2015;8;20;0;24
3427050;2015;8;21;0;24
3427050;2015;8;22;0;24
3427050;2015;8;23;0;24
3427050;2015;8;24;0;24
3427050;2015;8;25;0;24
3427050;2015;8;26;0;24
3427050;2015;8;27;1,6;24
3427050;2015;8;28;0;24
3427050;2015;8;29;15,1;24
3427050;2015;8;30;2,4;24
3427050;2015;8;31;7,6;24
3427050;2015;9;1;23,5;24
3427050;2015;9;2;17,4;24
3427050;2015;9;3;0,3;24
3427050;2015;9;4;26,9;24
3427050;2015;9;5;4,5;24
3427050;2015;9;6;1,4;24
3427050;2015;9;7;0;24
3427050;2015;9;8;0;24
3427050;2015;9;9;0;24
